country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label,value_ugm3,cap_ugm3,above_limit,month,extreme_value,year
CN,NA,济南四建,36.6819,116.9814,SO2,ChinaAQIData,µg/m³,46,2021-08-09T11:00:00Z,China,济南四建,46,3000,FALSE,8,TRUE,2021
IN,NA,"MD University, Rohtak - HSPCB",28.870083,76.6205,SO2,caaqm,µg/m³,46.43,2020-01-01T11:00:00Z,India,"MD University, Rohtak - HSPCB",46.43,3000,FALSE,1,TRUE,2020
IS,Grundartangi,Grundartangi Gröf,64.334164,-21.835686,SO2,Umhverfisstofnun,µg/m³,57.5883,2024-03-24T09:00:00Z,Iceland,Grundartangi,57.5883,3000,FALSE,3,TRUE,2024
CH,ATMO BOURGOGNE-FRANCHE-COMTE,NET-FR076A,47.51030699999999,6.794,PM2.5,EEA France,µg/m³,18.8,2024-03-11T09:00:00Z,Switzerland,ATMO BOURGOGNE-FRANCHE-COMTE,18.8,2000,FALSE,3,TRUE,2024
CL,Huasco,EME F,-28.466423001884,-71.221554279327,O3,Chile - SINCA,µg/m³,302.74,2021-08-20T21:00:00Z,Chile,Huasco,302.74,1200,FALSE,8,TRUE,2021
CN,NA,竹园小学,31.0481,112.20140000000002,SO2,ChinaAQIData,µg/m³,28,2021-08-09T11:00:00Z,China,竹园小学,28,3000,FALSE,8,TRUE,2021
US,Reno-Sparks,Reno3,39.525082,-119.807716,O3,AirNow,ppm,0.014,2020-03-03T17:00:00Z,United States,Reno-Sparks,27.484662576687118,1200,FALSE,3,TRUE,2020
ZA,Mangaung  Metro,Pelonomi-NAQI,-29.138507,26.241952,PM2.5,South Africa,µg/m³,325.26,2022-05-25T20:00:00Z,South Africa,Mangaung  Metro,325.26,2000,FALSE,5,TRUE,2022
CN,NA,北泵房(对照点),40.86610000000001,114.8916,NO2,ChinaAQIData,µg/m³,67,2021-08-09T11:00:00Z,China,北泵房(对照点),67,4000,FALSE,8,TRUE,2021
CN,NA,Bengbu Bai Huo Da Lou,32.9444,117.3575,NO2,Bengbu,µg/m³,33,2020-05-08T02:00:00Z,China,Bengbu Bai Huo Da Lou,33,4000,FALSE,5,TRUE,2020
AU,Muswellbrook,Muswellbrook,-32.2716667,150.8858333,PM2.5,Australia - New South Wales,µg/m³,0,2022-10-04T18:00:00Z,Australia,Muswellbrook,0,2000,FALSE,10,TRUE,2022
FR,ATMO HAUTS DE FRANCE,NET-FR074A,50.717029999999994,1.605913,PM2.5,EEA France,µg/m³,37.4,2024-03-11T09:00:00Z,France,ATMO HAUTS DE FRANCE,37.4,2000,FALSE,3,TRUE,2024
JP,NA,北九州市門司区大里原町１２－１２,33.895833,130.935833,NO2,japan-soramame,ppm,0.011,2024-03-10T08:00:00Z,Japan,北九州市門司区大里原町１２－１２,20.699795501022493,4000,FALSE,3,TRUE,2024
JP,NA,島田市中央町１－１,34.836111,138.176389,NO2,japan-soramame,ppm,0.014,2024-03-10T08:00:00Z,Japan,島田市中央町１－１,26.34519427402863,4000,FALSE,3,TRUE,2024
JP,NA,川崎市川崎区富士見１－１－６,35.529722,139.713056,NO2,japan-soramame,ppm,0.015,2024-03-10T08:00:00Z,Japan,川崎市川崎区富士見１－１－６,28.226993865030675,4000,FALSE,3,TRUE,2024
JP,NA,葛飾区水元公園３－２,35.786111,139.868889,NO2,japan-soramame,ppm,0.013,2024-03-08T03:00:00Z,Japan,葛飾区水元公園３－２,24.463394683026586,4000,FALSE,3,TRUE,2024
CN,NA,北街,22.6058,113.1064,NO2,ChinaAQIData,µg/m³,59,2021-08-09T11:00:00Z,China,北街,59,4000,FALSE,8,TRUE,2021
CN,NA,安源区政府,27.6198,113.866,CO,ChinaAQIData,µg/m³,1800,2021-08-09T11:00:00Z,China,安源区政府,1800,60000,FALSE,8,TRUE,2021
ES,CCAA Navarra,NET_ES215A,42.80699999999999,-1.6439999999999997,NO2,EEA Spain,µg/m³,41,2024-03-11T11:00:00Z,Spain,CCAA Navarra,41,4000,FALSE,3,TRUE,2024
IL,NA,תחנה:כביש 1 מוצא,31.750159999999997,34.99278,O3,Israel,ppm,0.0448,2019-04-03T21:00:00Z,Israel,תחנה:כביש 1 מוצא,87.95092024539876,1200,FALSE,4,TRUE,2019
IN,NA,"Naubad, Bidar - KSPCB",17.930306,77.482194,PM2.5,caaqm,µg/m³,985,2021-07-19T06:45:00Z,India,"Naubad, Bidar - KSPCB",985,2000,FALSE,7,TRUE,2021
TH,Rayong,Health Promotion Hospital Maptaput,12.70865,101.1659833,CO,Air4Thai,ppm,6,2024-01-15T04:00:00Z,Thailand,Rayong,6873.619631901841,60000,FALSE,1,TRUE,2024
TR,Hatay,Hatay - İskenderun,36.7141403795385,36.2239186822096,CO,Turkiye,µg/m³,2077144,2022-11-04T15:00:00Z,Turkey,Hatay,2077144,60000,TRUE,11,FALSE,2022
